time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,7.92740310481e-08,-8.24102807189e-08,10.0046126885,6.28289479205,6.28305974159,0.0,9.14191173602e-06,-1.61011183229e-05,0.153747262473,-0.0169088120534,-0.00664676880785,0.0,453.3906718297185,452.85647733592697,454.8192150250936,453.46328093553853
0.12000000000000001,4.91264584035e-06,-1.15602645671e-05,10.0179524051,6.28168014816,6.28224106947,0.0,0.000210820023324,-0.00048522597937,0.290884169054,-0.0279252556131,-0.033769629303,0.0,449.2640904423374,447.05996021560713,449.4168549394285,448.52321354226984
0.18,5.13086639288e-05,-8.78463941959e-05,10.0437174611,6.27997483565,6.28058019212,0.0,0.00156918984111,-0.00227418441189,0.567853725794,-0.0294339269012,-0.0176670397086,0.0,490.269210362927,491.46381502314847,489.1283573162802,489.0158663946893
0.23999999999999996,0.00019928281593,-0.000292199037157,10.0793173965,6.27816545136,6.27938163737,0.0,0.00346976793949,-0.00470680665898,0.618783253594,-0.0316417144133,-0.0250470888286,0.0,422.1273106833468,421.4900721638038,421.071472331329,420.8801127385418
0.3,0.000497417447236,-0.000693151852347,10.1208377991,6.27606741724,6.27795037545,0.0,0.00662730646062,-0.00887427283768,0.765141215883,-0.042621239132,-0.0215699491467,0.0,452.31826586667324,452.5981072043105,451.56821495453977,450.6812535071765
0.36000000000000004,0.000998289233946,-0.00136868886213,10.1679604332,6.27371870875,6.27676350287,0.0,0.0101836638066,-0.0138712779235,0.805582833658,-0.0329707384144,-0.0164246527073,0.0,417.3434703410532,417.7922645547829,418.40901113684305,419.24733850308917
0.4200000000000001,0.00173544901872,-0.00238875437863,10.2177335182,6.27172513124,6.27575265115,0.0,0.0144822008619,-0.020317817505,0.853482532459,-0.0337422523039,-0.0177069301809,0.0,421.0128424763807,420.9019622264832,420.5496375776312,420.4823115478781
0.48000000000000015,0.00277061920417,-0.00386605922729,10.2730948963,6.26952716764,6.27486138746,0.0,0.0201272277037,-0.0291509142776,0.991782874475,-0.0431496966872,-0.00968570944705,0.0,449.633882211773,450.28326366932475,449.75598488866905,448.9928860983428
0.5400000000000001,0.00416680994605,-0.00593144580068,10.3373424888,6.26724484368,6.27455510963,0.0,0.0264588492828,-0.039960836136,1.14965334034,-0.029395564654,0.00276588183385,0.0,456.01303488911276,457.0065615816695,454.78782412208284,455.88730869190556
0.6000000000000002,0.00593394309238,-0.00866859082031,10.4095365746,6.26558734624,6.27453443972,0.0,0.0324362051789,-0.0514516233142,1.25670117609,-0.0243005928915,-0.00743250177791,0.0,440.99168661037174,440.1485781911811,440.221109556043,440.6422492879564
0.6600000000000003,0.0080807167181,-0.0121664641452,10.4902671798,6.26415864224,6.27424685064,0.0,0.039162167133,-0.0653043072944,1.43410951613,-0.0228516235229,2.26432404112e-05,0.0,462.17451586801195,462.7617516034507,462.30327975390105,462.4173823291208
0.7200000000000003,0.0106056672185,-0.0164637958486,10.5783067733,6.26262724607,6.27464271214,0.0,0.0449803492883,-0.0780787811295,1.50045560862,-0.0314872027159,0.0172694596159,0.0,427.49397101300406,428.9608532792834,428.5406881676336,427.80592458286657
0.7800000000000004,0.013468669886,-0.0215600507565,10.6703506789,6.26071171793,6.27580606107,0.0,0.0503450861449,-0.091979464504,1.56758109961,-0.0328165555012,0.0233228354492,0.0,428.2449525320659,428.75947915033544,428.85524988980234,428.7419173741266
0.8400000000000004,0.0166516170683,-0.0276000429951,10.769560624,6.25835149036,6.27737056817,0.0,0.0555838447502,-0.109586268831,1.73916669543,-0.0574170161474,0.0310778171177,0.0,461.3914018081552,462.00330598816214,462.27183358230633,460.3285473289856
0.9000000000000005,0.0200999588147,-0.0347048255638,10.87702931,6.25466995816,6.27950025813,0.0,0.059153739565,-0.127599840745,1.84295163699,-0.0707113271098,0.0431188673406,0.0,441.07759732594593,442.0713789031942,441.26257417687754,440.16102059528833
0.9600000000000005,0.0237105214537,-0.0429294214933,10.9893436655,6.25053753075,6.28270495417,0.0,0.0609152952028,-0.146951596846,1.90075319737,-0.0654327570155,0.0685859895829,0.0,424.49633985924027,426.6778833469572,427.73957833857776,428.18504280732185
1.0200000000000005,0.0273595474619,-0.0524379816491,11.1064311446,6.24626432453,0.00338512226722,0.0,0.0603091266754,-0.170410093463,2.00197472052,-0.0864778091415,0.0544383162169,0.0,441.578687774861,440.413173865243,441.7680042641423,440.02522839782426
1.0800000000000005,0.0309028926972,-0.0633748561606,11.2276922393,6.24164834952,0.00632468584242,0.0,0.0575113759986,-0.194600825439,2.03997370288,-0.0626029381492,0.0349366566131,0.0,421.4311204163662,419.7437511666354,420.2586147653937,422.3175186576546
1.1400000000000006,0.0342085317666,-0.0759547190812,11.3538070514,6.23777270801,0.00925755930653,0.0,0.0524031299238,-0.225121110707,2.16360517559,-0.0689051493731,0.0677763788027,0.0,446.7704044827312,449.4411279580761,449.2878138744408,448.7735524844191
1.2000000000000006,0.0371933744644,-0.0901967317919,11.4818501529,6.23363519901,0.0131453857513,0.0,0.0467774014712,-0.249943019912,2.10458788372,-0.0690653085917,0.0580540496764,0.0,388.6586536229263,387.7501194100913,388.4180384990911,388.39866599133273
1.2600000000000007,0.0397123365524,-0.106242547538,11.6112829623,6.2291846047,0.0162258674407,0.0,0.0368476148167,-0.28534698735,2.20960987525,-0.0871036816886,0.0324654859244,0.0,444.43210120429427,442.33151910767856,443.59507722095475,442.10692462730424
